district_name,state_name,grade_10_avg_performance,g3_lang,g3_math,g3_evs,g5_lang,g5_math,g5_evs,g8_lang,g8_math,g8_sci,g8_sst,g3_avg,g5_avg,g8_avg,growth_g3_g5,growth_g5_g8,performance_std,Performance_Class,state_encoded
Bengaluru U North,Karnataka,41.977661186666666,56.614866500000005,47.99766266666666,54.53529579999999,54.763367,42.48497473333334,46.87836115384615,59.417458,35.1194857,41.451202,39.35237718181818,53.04927498888889,48.0422342957265,43.83513072045454,-5.007040693162388,-4.207103575271958,4.61285579649548,High,16
Bengaluru U South,Karnataka,40.35677503,64.6042425,56.102852000000006,62.9995997,59.13902,46.32937733333333,49.44862223076923,57.47822,35.25029705,41.644443333333335,39.35492513636364,61.23556473333334,51.63900652136753,43.43197137992424,-9.596558211965814,-8.207035141443285,8.910829475251692,High,16
Betul,Madhya Pradesh,33.4902032,63.944885,55.34937825,61.7910438,58.49585,47.2479844,51.73219507692308,54.451088,35.58313885,38.78060108333333,37.67049954545455,60.36176901666666,52.49200982564103,41.621331869696974,-7.869759191025636,-10.870677955944052,9.410178296274925,Low,20
Bhadoi,Uttar Pradesh,33.01791681666667,52.115854,48.007924333333335,50.3124179,50.67551,38.714078066666666,43.94632084615385,48.289246,33.4218339,34.92290633333334,36.015959409090904,50.14539874444444,44.44530297094017,38.16248641060606,-5.700095773504273,-6.282816560334112,5.993817144335568,Low,34
Bhadradri,Telangana,34.32121188,42.2047565,38.19609691666667,41.3128445,43.697758,34.98991053333334,37.51967023076923,44.35495,29.7175793,33.77675366666667,32.32422154545455,40.571232638888894,38.73577958803418,35.0433761280303,-1.83545305085471,-3.692403460003881,2.815431548270537,Low,32
Bhadrak,Odisha,33.28014285333333,67.49391750000001,60.199215083333335,61.749156500000005,55.178337,51.9928828,51.28985461538461,49.62113,33.174461099999995,36.95036841666667,34.3466975,63.14742969444445,52.82035813846153,38.523164254166666,-10.327071555982918,-14.297193884294863,12.36535892699688,Low,26
Bhagalpur,Bihar,37.36874282333333,54.446689500000005,51.725761250000005,52.721939,54.192863,38.38621246666666,42.683821,51.62058,38.07489675,37.96828191666666,37.62325790909091,52.96479658333334,45.08763215555555,41.321754143939394,-7.877164427777785,-3.76587801161616,5.941268016539767,Medium,4
Bhandara,Maharashtra,34.36546265666667,66.10487,60.615705,62.5160203,49.893654,38.62707553333333,45.64325715384616,49.015347,30.7932358,31.94804016666667,34.2339155,63.0788651,44.721328895726494,36.497634616666666,-18.357536204273508,-8.223694279059828,13.60876002859153,Low,21
Bharatpur,Rajasthan,44.76290237,67.4408,65.26017766666666,65.90935099999999,56.691765,47.6744692,50.29576276923077,62.026493,49.7101768,50.27274008333333,48.93962199431819,66.20344288888889,51.55399898974358,55.7897356935606,-14.649443899145304,4.235736703817018,7.538710870437336,High,29
Bharuch,Gujarat,37.91132592333334,61.473974,54.04382558333333,57.1140586,56.844196,47.862238133333335,52.695323384615385,55.884266,33.62224925,37.75023216666667,36.85011968181818,57.54395272777777,52.467252505982906,41.02671677462121,-5.076700221794866,-11.4405357313617,8.46047503093831,Medium,11
